Domain,Feature Name,Canonical Owner,Primary User / Actor,Business Outcome,Entry Point / Surface,Short Description,Variants / Markets,Dependencies / Related Flows,Service / Repository,DB - Collections,Evidence Source,Criticality,Usage Confidence,Disposition,Open Questions,Reviewer,Review Status
Corpsec,Resignation of Director Workflow,,Corp Sec staff,Automates end-to-end director resignation process including ACRA filing and register updates,Admin App > Workflows > Camunda Workflows (filter: Resignation of Director),"Manages a director's resignation — capturing letter of resignation, board resolution, ACRA submission, proof upload, and Register of Directors update.",SG (67 active instances; AU: definition exists 0 instances; HK/UK: not present),"ACRA filing, Register of Directors, Corp Sec request flow","sleek-back, sleek-website, sleek-workflow (Camunda)",sleek,Live app walkthrough,High,High,Unknown,AU has workflow definition but 0 instances — intentionally inactive?,,Draft
Corpsec,Change of Director Workflow,,Corp Sec staff,Automates the process of replacing a company director including nominee assignment,Admin App > Workflows > Camunda Workflows (filter: Change of Director),Manages director change requests — routing through nominee director assignment to complete the change.,SG (107 active instances; AU: definition exists 0 instances; HK/UK: not present),"Appointment of Director workflow, Nominee Director assignment","sleek-back, sleek-website, sleek-workflow (Camunda)",sleek,Live app walkthrough,High,High,Unknown,AU has definition but 0 instances; only Assign a Nominee Director step observed — may have additional steps not captured,,Draft
Corpsec,Appointment of Director Workflow,,Corp Sec staff,Automates the appointment of a new director including nominee assignment and completion,Admin App > Workflows > Camunda Workflows (filter: Appointment of Director),Guides appointment of a new director — progressing through nominee assignment to end.,SG (110 active instances; AU: definition exists 0 instances; HK/UK: not present),"Change of Director workflow, Nominee Director assignment, ACRA filing","sleek-back, sleek-website, sleek-workflow (Camunda)",sleek,Live app walkthrough,High,High,Unknown,AU has definition but 0 instances,,Draft
Corpsec,Amend Company Share Structure Workflow,,Corp Sec staff,Automates amendment of a company's share structure including review confirmation and ACRA filing,Admin App > Workflows > Camunda Workflows (filter: Amend Company share structure),Manages amendments to a company's share capital or structure — from review & confirmation through ACRA filing.,SG (269 active instances; AU: definition exists 0 instances; HK/UK: not present),"ACRA filing, Shares register, Corp Sec requests","sleek-back, sleek-website, sleek-workflow (Camunda)",sleek,Live app walkthrough,High,High,Unknown,"AU has definition but 0 instances; system name is ""Amend Company share structure"" (lowercase s)",,Draft
Corpsec,Share Transfer Workflow (SG),,Corp Sec staff,Automates share transfer between parties including RAF review and document generation,Admin App > Workflows > Camunda Workflows (filter: Transfer),"Manages share transfer requests in SG — progressing through Company Members update, Transfer RAF, transfer review, and document generation.",SG (357 active instances; AU: definition exists 0 instances; HK/UK: not present),"Company Members, Transfer documents, RAF","sleek-back, sleek-website, sleek-workflow (Camunda)",sleek,Live app walkthrough,High,High,Unknown,"System name is ""Transfer"" (not ""SG Transfer""); AU has definition but 0 instances",,Draft
Corpsec,Company Incorporation Workflow (SG),,Corp Sec staff / Operations,Automates end-to-end SG company incorporation from RAF through company members setup,Admin App (SG) > Workflows > Camunda Workflows (filter: Incorporation),Manages Singapore company incorporation — progressing through Incorporation RAF and Company Members setup stages.,SG (3453 active instances; AU: definition exists 0 instances),"KYC, Company Members, RAF, HK/UK Incorporation workflows","sleek-back, sleek-website, sleek-workflow (Camunda)",sleek,Live app walkthrough,High,High,Unknown,"SG/HK/UK each run an ""Incorporation"" workflow in their respective regional environments — confirm if same definition deployed per-region or separate workflow definitions",,Draft
Corpsec,Company Incorporation Workflow (HK),,Corp Sec staff / Operations,Automates end-to-end HK company incorporation,Admin App (HK) > Workflows > Camunda Workflows (filter: Incorporation),Manages Hong Kong company incorporation — progressing through Incorporation RAF and Company Members setup stages.,HK (1589 active instances),"KYC, Company Members, RAF, SG/UK Incorporation workflows","sleek-back, sleek-website, sleek-workflow (Camunda)",sleek,Live app walkthrough,High,High,Unknown,Confirm if same Camunda workflow definition as SG or region-specific variant,,Draft
Corpsec,Company Incorporation Workflow (UK),,Corp Sec staff / Operations,Automates end-to-end UK company incorporation including KYC verification,Admin App (UK) > Workflows > Camunda Workflows (filter: Incorporation),Manages UK company incorporation — key task step is KYC Verification (differs from SG/HK which has Incorporation RAF + Company Members).,UK (1333 active instances),"KYC Verification, SG/HK Incorporation workflows","sleek-back, sleek-website, sleek-workflow (Camunda)",sleek,Live app walkthrough,High,High,Unknown,UK task steps differ from SG/HK (KYC Verification vs Incorporation RAF + Company Members) — different workflow definition or market-specific configuration?,,Draft
Corpsec,AGM & Annual Return Workflow,,Corp Sec staff,Automates annual AGM and Annual Return compliance obligations for SG companies,Admin App (SG) > Workflows > Camunda Workflows (filter: AGM & AR),Manages the Annual General Meeting and Annual Return filing process for Singapore companies — Annual General Meeting is the primary observed task step.,SG (5529 active instances; AU: definition exists 0 instances; HK/UK: not present),"Company Deadlines workflow, ACRA filing, compliance calendar","sleek-back, sleek-website, sleek-workflow (Camunda)",sleek,Live app walkthrough,High,High,Unknown,HK and UK show no AGM & AR workflow — confirm if AGM is not a requirement in those jurisdictions or handled via a different flow,,Draft
Corpsec,Company Deadlines Workflow,,Corp Sec staff / Finance staff,Tracks and manages ongoing company compliance deadlines including management accounts obligations,Admin App (SG) > Workflows > Camunda Workflows (filter: Deadlines),"Manages ongoing company compliance deadline workflows — surfaces as ""Company Deadlines"" instances; Management Account is a key observed task step.",SG (5498 active instances; AU: definition exists 0 instances; HK/UK: not present),"AGM & AR workflow, compliance calendar, Companies List > Deadlines tab","sleek-back, sleek-website, sleek-workflow (Camunda)",sleek,Live app walkthrough,High,High,Unknown,HK and UK show no Deadlines workflow — confirm if handled differently in those markets; AU has definition but 0 instances,,Draft
Corpsec,Client Portal – Company Secretary File Browser,,Client / Company Director,"Enables clients to self-serve access to their company documents without contacting Sleek support, reducing support load and improving transparency.",Client App > Company Secretary (left nav),"Hierarchical document repository where clients browse top-level folders: A – Registers, B – Share Certificates, C – Minutes and Resolutions, D – ACRA Filings, Draft, E – Constitution, F – Miscellaneous, G – KYC, H – Immigration. Supports inline PDF preview, multi-select with bulk download, file search, name/date sorting, and pagination.","SG, HK, UK, AU",Admin app file management; Corpsec document generation flows; SleekSign (signed docs stored here),,,Live app walkthrough,High,Medium,Unknown,,,Draft
Corpsec,Client Portal – On-going Requests View,,Client / Company Director,"Keeps clients informed of active request progress, reducing inbound support queries about request status.",Client App > Requests > On-going (left nav),"Lists active/in-progress Corpsec requests submitted by the client. Each card shows request type, Request ID, Date of Request, and Price. Currently shows latest request only.",SG,Requests catalogue; admin-side request processing; Camunda workflows,,,Live app walkthrough,Medium,Medium,Unknown,,,Draft
Corpsec,Client Portal – History of Requests View,,Client / Company Director,Provides an audit trail of completed requests for client reference and compliance record-keeping.,Client App > Requests > History (left nav),"Paginated table of completed Corpsec requests. Columns: Request type, Track Status (e.g. DONE), Price, Request ID, Date. Configurable rows-per-page. Test account showed Accounting Onboarding V2 and KYC Individual as DONE entries.",SG,On-going Requests view; admin-side request processing,,,Live app walkthrough,Medium,Medium,Unknown,,,Draft
Corpsec,Client Request – Change Company Name,,Client / Company Director,"Allows clients to initiate a company name change via Sleek, with ACRA filing handled on their behalf.",Client App > Requests > Request > Change Company Name > Create a New Request,Client submits a request to change company name. ACRA name availability check is performed; S$15 name reservation fee absorbed by Sleek. Form fill < 15 mins; processing 5 working days to 2 months for referred cases. Steps: No Payment > Sleek Processing > Document Pending Signatures > ACRA Filing.,SG,ACRA filing; SleekSign (document signatures); Camunda workflow (admin side),,,Live app walkthrough,High,Medium,Unknown,,,Draft
Corpsec,Client Request – Change Company Address,,Client / Company Director,Allows clients to update their company's registered address and file the change with ACRA via Sleek.,Client App > Requests > Request > Change Company Address > Create a New Request,Client submits updated registered address. Requires signing of documents and payment for the change of address service. Form fill < 5 mins; processing 4-5 days. Steps: Create request > Sleek Processing > Board Resolution for Signing > Pending Signatures > ACRA Filing.,SG,ACRA filing; SleekSign (board resolution signatures); Camunda workflow (admin side),,,Live app walkthrough,High,Medium,Unknown,,,Draft
Corpsec,Client Request – Change of Director,,Client / Company Director,Allows clients to change an existing director (e.g. to Nominee or Own Director) with ACRA filing handled by Sleek.,Client App > Requests > Request > Change of Director > Create a New Request,Client initiates change of director type (Nominee or Own Director). Requires a local director remaining on board. Form fill < 15 mins; processing 4-5 working days. Steps: Payment (if required) > Invitation to join company > Due diligence on new director > Sleek Processing > Letter of resignation of old director > Pending Signatures > ACRA Filing.,SG,ACRA filing; SleekSign; KYC/due diligence flow; Camunda workflow (admin side),,,Live app walkthrough,High,Medium,Unknown,,,Draft
Corpsec,Client Request – Resignation of Director,,Client / Company Director,Allows clients to process a director resignation with all required ACRA documentation handled by Sleek.,Client App > Requests > Request > Resignation of Director > Create a New Request,Client initiates resignation of an existing director. Requires a local director remaining on board post-resignation. Form fill < 15 mins; processing 4-5 days. Free. Steps: Sleek Processing > Letter of resignation > Pending Signatures > ACRA Filing > Board resolution > Pending Signatures.,SG,ACRA filing; SleekSign (letter of resignation and board resolution); Camunda workflow (admin side),,,Live app walkthrough,High,Medium,Unknown,,,Draft
Corpsec,Client Request – Change of Business Activity,,Client / Company Director,Allows clients to add or change their company's business activity (SSIC code) via Sleek with ACRA filing.,Client App > Requests > Request > Change of Business Activity > Create a New Request,Client submits updated business activity description (75 word limit). Can add additional activity or replace existing. Form fill < 15 mins; processing 1-3 working days. Free. Steps: No Payment > Processing document > Pending Signatures > ACRA Filing.,SG,ACRA filing; SleekSign; Camunda workflow (admin side),,,Live app walkthrough,Medium,Medium,Unknown,,,Draft
Corpsec,Client Request – Open Bank Account,,Client / Company Director,"Connects clients with Singapore local and online banks to open a corporate bank account, reducing friction in the post-incorporation journey.",Client App > Requests > Request > Open Bank Account > Create a New Request,"Client selects preferred Singapore local or online banks, acknowledges requirements, and gets connected with bankers. Form fill < 5 mins; processing instant (Sleek) / up to 2 weeks (banks). Free. Steps: Select Banks > Acknowledge requirements > Get connected with Bankers.",SG,Third-party bank referral integrations,,,Live app walkthrough,Medium,Medium,Unknown,Which banks are supported? Is this a referral or a managed process?,,Draft
Corpsec,Client Request – Appointment of New Director,,Client / Company Director,Allows clients to onboard a new director to the company with KYC due diligence and ACRA filing handled by Sleek.,Client App > Requests > Request > Appointment of New Director > Create a New Request,Client creates a request for a new director joining the company. New director receives invitation and undergoes due diligence. Form fill < 15 mins; processing 4-5 days. Free (payment if applicable). Steps: Payment (if required) > Invitation to join company > Due diligence > Sleek processing > Pending signatures > ACRA Filing.,SG,ACRA filing; SleekSign; KYC/due diligence flow; Camunda workflow (admin side),,,Live app walkthrough,High,Medium,Unknown,,,Draft
Corpsec,Client Request – Update My Details,,Client / Shareholder / Director (self-serve),Allows individual users to keep their personal information current with ACRA requirements without going through a formal request flow.,Client App > Requests > Request > Update My Details > Update my profile,User updates their own personal information including identity information and residential address. Supporting documents may be required. Each director/shareholder must update their own profile individually. Free and self-serve (no Sleek processing step). References ACRA documentation and penalty requirements.,SG,ACRA filing (if required); user profile management,,,Live app walkthrough,Medium,Medium,Unknown,Does this trigger an ACRA filing automatically or is it a manual step?,,Draft
Corpsec,Client Request – Change of Officer's Particulars,,Client / Company Director,Allows clients to update an existing director's particulars and file the change with ACRA via Sleek.,Client App > Requests > Request > Change of Officer's Particulars > Create a New Request,Client submits change to an existing director's particulars. Form fill < 5 mins; processing 4-5 working days. Free. Steps: No Payment > Processing document > Pending Signatures > ACRA Filing. ACRA documentation and penalty information linked.,SG,ACRA filing; SleekSign; Camunda workflow (admin side),,,Live app walkthrough,Medium,Medium,Unknown,,,Draft
Corpsec,Client Request – Change of Shareholder's Particulars,,Client / Company Director / Shareholder,Allows clients to update an existing shareholder's particulars and file the change with ACRA via Sleek.,Client App > Requests > Request > Change of Shareholder's Particulars > Create a New Request,Client submits change to an existing shareholder's particulars. Form fill < 5 mins; processing 4-5 working days. Free. Steps: No Payment > Processing document > Pending Signatures > ACRA Filing. ACRA documentation and penalty information linked.,SG,ACRA filing; SleekSign; Camunda workflow (admin side),,,Live app walkthrough,Medium,Medium,Unknown,,,Draft
